timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/25 06:40:09.099, 95 %, 27 %, 46937 MiB, 49140 MiB, 255.54 W
2026/09/25 06:40:09.300, 95 %, 27 %, 46937 MiB, 49140 MiB, 255.54 W
2026/09/25 06:40:09.500, 100 %, 26 %, 46937 MiB, 49140 MiB, 257.96 W
2026/09/25 06:40:09.700, 100 %, 26 %, 46937 MiB, 49140 MiB, 257.96 W
2026/09/25 06:40:09.901, 100 %, 26 %, 46937 MiB, 49140 MiB, 257.96 W
2026/09/25 06:40:10.101, 100 %, 29 %, 46937 MiB, 49140 MiB, 307.41 W
2026/09/25 06:40:10.301, 100 %, 29 %, 46937 MiB, 49140 MiB, 307.41 W
2026/09/25 06:40:10.501, 0 %, 0 %, 46937 MiB, 49140 MiB, 223.59 W
2026/09/25 06:40:10.702, 0 %, 0 %, 46937 MiB, 49140 MiB, 223.59 W
2026/09/25 06:40:10.902, 0 %, 0 %, 46937 MiB, 49140 MiB, 223.59 W
2026/09/25 06:40:11.102, 100 %, 24 %, 46937 MiB, 49140 MiB, 223.78 W
2026/09/25 06:40:11.303, 100 %, 24 %, 46937 MiB, 49140 MiB, 223.78 W
2026/09/25 06:40:11.503, 100 %, 26 %, 46937 MiB, 49140 MiB, 282.90 W
2026/09/25 06:40:11.703, 100 %, 26 %, 46937 MiB, 49140 MiB, 282.90 W
2026/09/25 06:40:11.903, 100 %, 26 %, 46937 MiB, 49140 MiB, 282.90 W
2026/09/25 06:40:12.104, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.63 W
2026/09/25 06:40:12.304, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.63 W
2026/09/25 06:40:12.504, 100 %, 31 %, 46937 MiB, 49140 MiB, 297.39 W
2026/09/25 06:40:12.704, 100 %, 31 %, 46937 MiB, 49140 MiB, 297.39 W
2026/09/25 06:40:12.905, 100 %, 31 %, 46937 MiB, 49140 MiB, 297.39 W
2026/09/25 06:40:13.105, 99 %, 98 %, 46937 MiB, 49140 MiB, 293.62 W
2026/09/25 06:40:13.305, 99 %, 98 %, 46937 MiB, 49140 MiB, 293.62 W
2026/09/25 06:40:13.505, 0 %, 0 %, 46937 MiB, 49140 MiB, 202.43 W
2026/09/25 06:40:13.706, 0 %, 0 %, 46937 MiB, 49140 MiB, 202.43 W
2026/09/25 06:40:13.906, 0 %, 0 %, 46937 MiB, 49140 MiB, 202.43 W
2026/09/25 06:40:14.106, 100 %, 24 %, 46937 MiB, 49140 MiB, 175.48 W
2026/09/25 06:40:14.307, 100 %, 24 %, 46937 MiB, 49140 MiB, 175.48 W
2026/09/25 06:40:14.507, 100 %, 28 %, 46937 MiB, 49140 MiB, 252.09 W
2026/09/25 06:40:14.707, 100 %, 28 %, 46937 MiB, 49140 MiB, 252.09 W
2026/09/25 06:40:14.907, 100 %, 28 %, 46937 MiB, 49140 MiB, 252.09 W
2026/09/25 06:40:15.108, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.56 W
2026/09/25 06:40:15.308, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.56 W
2026/09/25 06:40:15.508, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.15 W
2026/09/25 06:40:15.708, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.15 W
2026/09/25 06:40:15.909, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.15 W
2026/09/25 06:40:16.109, 100 %, 32 %, 46937 MiB, 49140 MiB, 299.28 W
2026/09/25 06:40:16.309, 100 %, 32 %, 46937 MiB, 49140 MiB, 299.28 W
2026/09/25 06:40:16.509, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.36 W
2026/09/25 06:40:16.710, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.36 W
2026/09/25 06:40:16.910, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.36 W
2026/09/25 06:40:17.110, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.40 W
2026/09/25 06:40:17.310, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.40 W
2026/09/25 06:40:17.511, 100 %, 31 %, 46937 MiB, 49140 MiB, 298.86 W
2026/09/25 06:40:17.711, 100 %, 31 %, 46937 MiB, 49140 MiB, 298.86 W
2026/09/25 06:40:17.911, 100 %, 31 %, 46937 MiB, 49140 MiB, 298.86 W
2026/09/25 06:40:18.111, 100 %, 30 %, 46937 MiB, 49140 MiB, 298.98 W
2026/09/25 06:40:18.312, 100 %, 30 %, 46937 MiB, 49140 MiB, 298.98 W
2026/09/25 06:40:18.512, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.08 W
2026/09/25 06:40:18.712, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.08 W
2026/09/25 06:40:18.912, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.08 W
2026/09/25 06:40:19.113, 88 %, 28 %, 46937 MiB, 49140 MiB, 261.05 W
2026/09/25 06:40:19.313, 88 %, 28 %, 46937 MiB, 49140 MiB, 261.05 W
2026/09/25 06:40:19.513, 28 %, 24 %, 46937 MiB, 49140 MiB, 231.42 W
2026/09/25 06:40:19.713, 28 %, 24 %, 46937 MiB, 49140 MiB, 231.42 W
2026/09/25 06:40:19.914, 28 %, 24 %, 46937 MiB, 49140 MiB, 231.42 W
2026/09/25 06:40:20.114, 15 %, 5 %, 46937 MiB, 49140 MiB, 180.24 W
2026/09/25 06:40:20.314, 15 %, 5 %, 46937 MiB, 49140 MiB, 180.24 W
2026/09/25 06:40:20.514, 100 %, 24 %, 46937 MiB, 49140 MiB, 202.08 W
2026/09/25 06:40:20.715, 100 %, 24 %, 46937 MiB, 49140 MiB, 202.08 W
2026/09/25 06:40:20.915, 100 %, 24 %, 46937 MiB, 49140 MiB, 202.08 W
2026/09/25 06:40:21.115, 100 %, 25 %, 46937 MiB, 49140 MiB, 291.58 W
2026/09/25 06:40:21.316, 100 %, 25 %, 46937 MiB, 49140 MiB, 291.58 W
2026/09/25 06:40:21.516, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.49 W
2026/09/25 06:40:21.716, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.49 W
2026/09/25 06:40:21.916, 100 %, 29 %, 46937 MiB, 49140 MiB, 299.49 W
2026/09/25 06:40:22.117, 100 %, 30 %, 46937 MiB, 49140 MiB, 297.72 W
2026/09/25 06:40:22.317, 100 %, 30 %, 46937 MiB, 49140 MiB, 297.72 W
2026/09/25 06:40:22.517, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.17 W
2026/09/25 06:40:22.717, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.17 W
2026/09/25 06:40:22.918, 100 %, 30 %, 46937 MiB, 49140 MiB, 299.17 W
2026/09/25 06:40:23.118, 100 %, 28 %, 46937 MiB, 49140 MiB, 298.54 W
2026/09/25 06:40:23.318, 100 %, 28 %, 46937 MiB, 49140 MiB, 298.54 W
2026/09/25 06:40:23.519, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.41 W
2026/09/25 06:40:23.719, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.41 W
2026/09/25 06:40:23.919, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.41 W
2026/09/25 06:40:24.119, 100 %, 31 %, 46937 MiB, 49140 MiB, 298.61 W
2026/09/25 06:40:24.320, 100 %, 31 %, 46937 MiB, 49140 MiB, 298.61 W
2026/09/25 06:40:24.520, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.24 W
2026/09/25 06:40:24.720, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.24 W
2026/09/25 06:40:24.920, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.24 W
2026/09/25 06:40:25.121, 100 %, 28 %, 46937 MiB, 49140 MiB, 299.23 W
2026/09/25 06:40:25.321, 100 %, 28 %, 46937 MiB, 49140 MiB, 299.23 W
2026/09/25 06:40:25.521, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.44 W
2026/09/25 06:40:25.721, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.44 W
2026/09/25 06:40:25.922, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.44 W
2026/09/25 06:40:26.122, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.15 W
2026/09/25 06:40:26.322, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.15 W
2026/09/25 06:40:26.522, 100 %, 28 %, 46937 MiB, 49140 MiB, 299.05 W
2026/09/25 06:40:26.722, 100 %, 28 %, 46937 MiB, 49140 MiB, 299.05 W
2026/09/25 06:40:26.923, 100 %, 28 %, 46937 MiB, 49140 MiB, 299.05 W
2026/09/25 06:40:27.123, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.11 W
2026/09/25 06:40:27.323, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.11 W
2026/09/25 06:40:27.523, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.29 W
2026/09/25 06:40:27.723, 100 %, 31 %, 46937 MiB, 49140 MiB, 299.29 W
